Formation;Midpoint;Nondinosauromorph_archosaurs;Synapsida;Other_tetrapod;Basal_Neodiapsida;Nondinosaur_Dinosauromorpha;Dinosauria;Total_gen
Karoo;251,5;;;;;;;3
Detfurth;250;;;;;;;4
Wlory;249;;;;;;;7
Hardegsen;248;;;;;;;2
Solling;247;;;;;;;6
Guanling;245,5;;;;;;;5
Cerro_de_las_Cabras1;242,25;;;;;;;4
Cerro_de_Las_Cabras2;238,5;2;1;;;;2;5
Portezuelo1;238,1;2;1;;;;2;5
Portezuelo2;238;1;1;;;;3;5
Val Sabbia;235;1;;;;;;1
Ansbacher_Sandstein;233,65;1;;;;1;;2
Stockton;232,5;2;;;;1;2;5
Blasensandstein;232,2;1;;;;;1;2
Molteno2;232,1;1;;;;;4;5
Molteno1;232;;;;;1;2;3
Travenanzes;230,93;1;;;;1;3;5
Wolfville;230,92;1;;;1;1;;3
Pekin;230,91;2;;;;;1;3
Popo_Agie;230,9;3;;;1;;1;5
Lockatong;229,751;1;;;1;1;1;4
Coburger_Sandstein;229,75;3;;;;;3;6
Montemarcello;229,5;2;;;;;3;5
Gettysburg;227,5;1;;;1;1;3;6
Dolomia_Principale;227;1;;;;;4;5
Petrified_Forest;226,53;;;;1;;2;3
Chinle_Mesa_Redondo_M;226,52;2;;;1;1;4;8
Monitor_Butte;226,51;1;;;;;1;2
Bluewater_Creek;226,5;1;;;;;1;2
Caturrita2;225,41;;;;;;1;1
Caturrita1;225,4;;;;;;1;1
Blackstone;223,55;;;;;;2;2
Chinle_Blue_Mesa_M.;223;;;;1;;1;2
Passaic_lower4;221,753;2;;;1;;2;5
Passaic_lower3;221,752;;1;;1;1;;3
Passaic_lower2;221,751;1;;;;1;1;3
Passaic_lower1;221,75;2;;;1;1;2;6
Passaic;218,5;4;;;1;1;1;7
Semionotussandstein;215,81;1;;;;;2;3
Löwenstein;215,8;;;;;;1;1
Hauptdolomit;214,5;;;;;;2;2
Bull_Run;211,752;1;;;;;4;5
Passaic_upper2;211,751;3;;;1;1;2;7
Passaic_upper1;211,75;;1;;;1;2;4
Fleming_Fjord;209,5;1;;;;;4;5
Baoding;207,151;1;;;;;1;2
Tomanová;207,15;;;;;;6;6
Santo_Domingo;204,91;;1;;;;2;3
Kössen;204,9;;;;;;2;2
Chinle;204,1;2;;;1;;2;5
Owl_Rock;204;2;;;1;1;1;5
Redonda3;202,655;1;;;;1;3;5
Redonda2;202,654;1;;;1;;3;5
Redonda1;202,653;1;;;1;;3;5
Sloan_Canyon2;202,652;2;1;;1;;1;5
Sloan_Canyon1;202,651;2;;;1;;4;7
Rock_Point;202,65;1;1;;1;;6;9
Wingate_Sandstone;201,35;1;;;;;2;3
Moenave2;201,34;;;;;;1;1
Moenave1;201,33;1;;;;;1;2
Nugget_Sandstone3;201,32;1;;;;;3;4
Nugget_Sandstone2;201,31;1;;;1;;1;3
Nugget_Sandstone1;201,3;1;;;;;1;2
Glen_Canyon_Sandstone;191,65;1;;;;;2;3