Formation;Epoch;Stage;Midpoint;Archosauromorph_gen;Dinosaur_gen;Synapsid_gen;Parareptile_gen;Temnospondyl_gen;Other_gen;Total_gen;Archosauromorph_spec;Dinosaur_spec;Synapsid_spec;Parareptile_spec;Temnospondyl_spec;Other_spec;Total_spec
Lystrosaurus AZ;Triassic (Early);Induan ;251,1;4;0;20;9;8;17;41;35;0;2711;606;124;730;3476
Fremouw lower;Triassic (Early);Induan;251,1;1;0;7;2;1;3;11;17;0;93;12;9;21;131
Panchet;Triassic (Early);Induan;251,1;1;0;26;0;5;5;32;4;0;3;0;12;12;19
Kopanskaya;Triassic (Early);Induan;251,1;3;0;0;2;3;5;8;5;0;0;2;60;62;67
Staritskaya;Triassic (Early);Olenekian (l);249,7;4;0;0;2;6;8;12;13;0;0;2;49;51;64
Kzylsaiskaya;Triassic (Early);Olenekian (l);249,7;3;0;0;2;8;10;13;6;0;0;2;42;44;50
Cynognathus AZ (A zone);Triassic (Early);Olenekian (u);247,8;1;0;4;1;4;5;10;37;0;19;6;50;56;112
Gostevskaya;Triassic (Early);Olenekian (u);247,8;2;0;0;0;4;4;6;3;0;0;0;11;11;14
Petropavlovskaya;Triassic (Early);Olenekian (u);247,8;3;0;2;2;9;11;16;14;0;2;3;25;28;44
Cynognathus AZ (B zone);Triassic (Middle);Anisian (l);245,7;4;0;10;5;7;12;26;78;0;508;13;48;61;647
Moenkopi (Holbrook member);Triassic (Middle);Anisian (l);245,7;4;0;1;0;4;4;9;17;0;1;0;42;42;60
Cynognathus AZ (C zone);Triassic (Middle);Anisian (u);242,9;0;0;6;0;1;1;7;0;0;11;0;3;3;14
Manda;Triassic (Middle);Anisian (u);242,9;6;1;6;0;1;1;13;63;2;34;0;4;4;101
Yerrapalli;Triassic (Middle);Anisian (u);242,9;3;0;3;0;1;1;7;10;0;33;0;1;1;44
Donguz;Triassic (Middle);Anisian (u);242,9;6;0;11;1;5;6;23;11;0;16;1;19;20;47
Chañares;Triassic (Middle);Ladinian (l);240,4;11;0;20;0;0;0;31;55;0;107;0;0;0;162
Lettenkeuper;Triassic (Middle);Ladinian (u);238,1;3;0;1;0;9;9;13;15;0;1;0;155;155;171
Bukobay;Triassic (Middle);Ladinian (u);238,1;4;0;2;0;7;7;13;7;0;2;0;8;8;17
Santa Maria lower;Triassic (Middle);Ladinian (u) - Carnian (l);236,4;6;0;11;1;0;1;18;22;0;63;3;0;3;88
Puesto Viejo (Rio Seca de la Quebrada);Triassic (Late);Carnian (l);235,8;0;0;4;0;0;0;4;0;0;11;0;0;0;11
Schilfsandstein;Triassic (Late);Carnian (l);235,8;2;0;1;0;3;3;6;2;0;1;0;62;62;65
Maleri (lower);Triassic (Late);Carnian (u);230,9;5;1;1;0;1;1;7;74;1;2;0;18;18;94
Lossiemouth sandstone;Triassic (Late);Carnian (u);230,9;7;1;0;1;0;1;8;100;1;0;30;0;30;130
Popo Agie;Triassic (Late);Carnian (u);230,9;7;0;1;0;1;1;9;14;0;2;0;2;2;18
Santa Maria upper;Triassic (Late);Carnian (u);230,9;11;4;6;0;1;1;18;173;6;8;0;1;1;182
Ischigualasto;Triassic (Late);Carnian (u);230,9;16;8;4;0;2;2;22;94;20;53;0;2;2;149
Stubensandstein lower;Triassic (Late);Norian (l);222,9;5;0;0;2;2;4;9;60;0;0;35;11;46;106
Maleri (upper);Triassic (Late);Norian (l);222,9;5;3;1;0;2;2;8;11;5;1;0;8;8;20
Dockum (Tecovas);Triassic (Late);Norian (l);222,9;12;0;1;0;1;1;14;27;0;1;0;3;3;31
Chinle (Bluewater, Blue mesa, Hayden quarry (lower petrified forest)) (combined due to concurrence);Triassic (Late);Norian (l);222,9;19;3;1;0;2;2;22;173;112;48;0;19;19;240
Los Colorados upper;Triassic (Late);Norian (l-m);221,2;9;4;2;1;0;1;12;26;26;3;3;0;3;32
Stubensandstein middle;Triassic (Late);Norian (m);215,8;8;4;0;1;2;3;11;84;29;0;4;16;20;104
Chinle (Sonsela) (Combined lower and upper, close in age);Triassic (Late);Norian (m);215,8;10;1;1;0;2;2;13;45;1;1;0;19;19;65
Elliot lower;Triassic (Late);Norian (m/u);213,5;6;7;2;0;0;0;8;69;69;7;0;0;0;76
Stubensandstein upper;Triassic (Late);Norian (u);211,7;2;1;0;1;0;1;3;63;62;0;3;0;3;66
Chinle (upper petrified forest);Triassic (Late);Norian (u);211,7;6;1;0;0;2;2;8;23;1;0;0;12;12;35
Dockum (Cooper canyon) (Otis Chalk and Post Quarry sites);Triassic (Late);Norian (u);211,7;23;4;2;0;4;4;29;78;6;2;0;9;9;89
Knollenmergel;Triassic (Late);Rhaetian (l);206,8;6;5;0;0;2;2;8;87;85;0;0;5;5;92
Lufeng lower (Dull purple beds);Jurassic (Early);Hettangian;200,3;5;5;2;0;0;0;7;131;131;12;0;0;0;143
Portland;Jurassic (Early);Hettangian;200,3;5;3;0;1;0;1;6;8;5;0;1;0;1;9
Lufeng upper (Dark red beds);Jurassic (Early);Sinemurian (l,u);195,1;13;7;8;0;0;0;21;23;9;19;0;0;0;42
Elliot upper;Jurassic (Early);Sinemurian (u) - Pliensbachian (l);190,9;21;15;4;1;1;2;27;179;157;171;1;1;2;352
Forest sandstone;Jurassic (Early);Sinemurian (u) - Pliensbachian (l);190,9;3;3;0;0;0;0;3;72;72;0;0;0;0;72
Glen Canyon (Kayenta + Navajo);Jurassic (Early);Sinemurian (u) - Pliensbachian (l/u);188,9;14;8;4;1;0;1;19;43;30;26;16;0;16;85
Clarens;Jurassic (Early);Pliensbachian (u);184,7;7;4;2;0;0;0;9;22;19;6;0;0;0;28